City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ancud,-41.8697,-73.8203,6.24,80,19,2.54,CL,1689463509
1,tawau,4.2498,117.8871,26.07,88,100,0.89,MY,1689463509
2,trinidad,-14.8333,-64.9,23.99,73,0,0.0,BO,1689463510
3,ust-nera,64.5667,143.2,17.13,84,83,2.9,RU,1689463510
4,susuman,62.7833,148.1667,21.47,63,86,3.58,RU,1689463511
5,edinburgh of the seven seas,-37.0676,-12.3116,12.93,82,46,15.15,SH,1689463511
6,praia da vitoria,38.7333,-27.0667,22.14,78,75,4.51,PT,1689463511
7,port douglas,-16.4833,145.4667,23.26,76,37,5.4,AU,1689463511
8,yellowknife,62.456,-114.3525,21.29,46,75,2.57,CA,1689463512
9,waitangi,-43.9535,-176.5597,11.01,82,98,1.34,NZ,1689463512
10,longgang,37.6508,120.3286,24.73,68,1,2.92,CN,1689463512
11,hamilton,39.1834,-84.5333,27.47,85,100,4.12,US,1689463512
12,blackmans bay,-43.0167,147.3167,12.07,70,96,5.69,AU,1689463513
13,pingliang,35.5392,106.6861,20.43,50,0,0.97,CN,1689463513
14,georgetown,5.4112,100.3354,26.96,89,20,1.54,MY,1689463513
15,san patricio,28.017,-97.5169,35.65,47,12,7.79,US,1689463514
16,maragogi,-9.0122,-35.2225,24.35,85,3,3.4,BR,1689463514
17,luwero,0.8492,32.4731,17.4,72,1,1.25,UG,1689463514
18,klyuchi,52.2667,79.1667,21.22,40,49,7.25,RU,1689463514
19,ushuaia,-54.8,-68.3,-0.19,93,75,8.23,AR,1689463516
20,okhotsk,59.3833,143.3,13.46,86,100,2.25,RU,1689463516
21,vila franca do campo,37.7167,-25.4333,20.23,82,68,2.73,PT,1689463516
22,port-aux-francais,-49.35,70.2167,1.64,57,99,9.44,TF,1689463516
23,margaret river,-33.95,115.0667,13.32,64,2,7.22,AU,1689463231
24,puerto natales,-51.7236,-72.4875,-1.32,75,64,2.21,CL,1689463518
25,tazovsky,67.4667,78.7,5.61,83,63,3.83,RU,1689463518
26,mahina,-17.5065,-149.489,28.87,61,20,5.14,PF,1689463518
27,katsuura,35.1333,140.3,26.55,85,100,9.05,JP,1689463491
28,lake havasu city,34.4839,-114.3224,50.12,6,70,1.79,US,1689463519
29,prince rupert,54.3161,-130.3201,16.05,96,100,2.06,CA,1689463519
30,greymouth,-42.4667,171.2,10.9,94,100,4.0,NZ,1689463519
31,bargaal,11.2864,51.0773,29.67,51,0,12.02,SO,1689463520
32,bilibino,68.0546,166.4372,26.58,35,9,2.62,RU,1689463520
33,kone,-21.0595,164.8658,22.81,47,16,4.6,NC,1689463520
34,iqaluit,63.7506,-68.5145,12.85,76,40,1.54,CA,1689463521
35,adam,22.3756,57.5233,28.28,60,5,2.56,OM,1689463521
36,chibougamau,49.9168,-74.3659,23.79,57,75,4.63,CA,1689463521
37,qaqortoq,60.7167,-46.0333,5.97,92,100,2.22,GL,1689463522
38,alice springs,-23.7,133.8833,11.75,82,100,4.12,AU,1689463522
39,port elizabeth,-33.918,25.5701,12.83,87,0,2.06,ZA,1689463405
40,new norfolk,-42.7826,147.0587,13.29,75,98,4.66,AU,1689463523
41,boppard,50.2308,7.5899,21.55,63,82,4.72,DE,1689463523
42,codrington,-38.2667,141.9667,9.92,78,77,3.73,AU,1689463523
43,kodiak,57.79,-152.4072,13.73,88,100,5.14,US,1689463524
44,papatowai,-46.5619,169.4708,8.74,75,59,8.44,NZ,1689463524
45,tiksi,71.6872,128.8694,2.18,97,100,4.95,RU,1689463524
46,klaksvik,62.2266,-6.589,12.51,93,100,13.08,FO,1689463525
47,atafu village,-8.5421,-172.5159,28.56,70,55,4.88,TK,1689463525
48,fuerte olimpo,-21.0415,-57.8738,18.42,40,91,1.95,PY,1689463525
49,olonkinbyen,70.9221,-8.7187,4.17,98,100,7.97,SJ,1689463526
50,tralee,52.2704,-9.7026,12.95,91,99,7.6,IE,1689463526
51,smara,26.7384,-11.6719,22.02,70,0,7.98,EH,1689463526
52,vicuna mackenna,-33.9197,-64.3922,8.27,45,18,2.31,AR,1689463527
53,puerto baquerizo moreno,-0.9,-89.6,25.29,78,36,5.41,EC,1689463527
54,guatire,10.4762,-66.5427,27.33,98,78,1.29,VE,1689463527
55,motygino,58.1831,94.7592,13.07,93,99,1.17,RU,1689463527
56,jabor,5.921,169.6434,28.05,79,82,6.44,MH,1689463528
57,bredasdorp,-34.5322,20.0403,14.5,58,84,3.6,ZA,1689463529
58,stanley,54.868,-1.6985,14.04,90,40,4.63,GB,1689463529
59,adamstown,-25.066,-130.1015,22.01,82,77,9.39,PN,1689463529
60,hawaiian paradise park,19.5933,-154.9731,27.8,66,75,3.09,US,1689463530
61,villa regina,-39.1,-67.0667,8.34,49,1,4.13,AR,1689463530
62,bethel,41.3712,-73.414,27.89,78,100,3.12,US,1689463530
63,volchikha,52.0333,80.3833,18.06,45,35,4.71,RU,1689463531
64,cidreira,-30.1811,-50.2056,12.76,85,99,3.19,BR,1689463531
65,west island,-12.1568,96.8225,24.99,78,100,7.2,CC,1689463531
66,santana,-0.0583,-51.1817,29.1,79,40,3.6,BR,1689463531
67,vorgashor,67.5833,63.95,9.93,72,29,0.78,RU,1689463532
68,port alfred,-33.5906,26.891,13.43,74,92,1.34,ZA,1689463532
69,angaur state,6.906,134.13,27.78,80,100,8.68,PW,1689463533
70,uturoa,-16.7333,-151.4333,26.61,61,3,4.4,PF,1689463534
71,fale old settlement,-9.3852,-171.2468,28.3,72,34,3.75,TK,1689463534
72,chokwe,-24.5333,32.9833,15.73,61,1,1.5,MZ,1689463534
73,ta`u,-14.2336,-169.5144,27.14,76,88,7.29,AS,1689463534
74,invercargill,-46.4,168.35,8.5,82,50,7.34,NZ,1689463535
75,vengerovo,55.6848,76.7471,13.32,95,100,4.62,RU,1689463535
76,akureyri,65.6835,-18.0878,5.96,93,75,4.12,IS,1689463535
77,kimbe,-5.5502,150.1429,28.68,65,49,4.34,PG,1689463256
78,lebu,-37.6167,-73.65,9.02,81,61,6.98,CL,1689463536
79,ulladulla,-35.35,150.4667,13.94,76,96,2.05,AU,1689463536
80,utrik,11.2278,169.8474,28.41,74,18,6.98,MH,1689463536
81,flying fish cove,-10.4217,105.6791,23.82,88,100,5.14,CX,1689463537
82,parham,17.0968,-61.7705,27.83,61,40,4.12,AG,1689463537
83,port mathurin,-19.6833,63.4167,23.32,80,15,7.7,MU,1689463537
84,guiglo,6.5456,-7.4966,21.6,98,14,1.22,CI,1689463538
85,sullana,-4.9039,-80.6853,28.96,50,100,6.08,PE,1689463538
86,anadyr,64.75,177.4833,18.28,63,0,5.0,RU,1689463538
87,nadi,-17.8,177.4167,21.0,88,100,2.06,FJ,1689463538
88,oriximina,-1.7656,-55.8661,28.64,60,62,0.86,BR,1689463539
89,ribeira grande,38.5167,-28.7,19.87,93,100,2.24,PT,1689463310
90,jamestown,42.097,-79.2353,24.18,88,0,3.6,US,1689463539
91,kuraymah,18.55,31.85,32.51,11,62,2.95,SD,1689463539
92,huarmey,-10.0681,-78.1522,21.93,79,5,4.79,PE,1689463540
93,puerto ayora,-0.7393,-90.3518,25.86,91,39,3.58,EC,1689463540
94,ghadamis,30.1337,9.5007,31.55,11,0,4.49,LY,1689463540
95,meizhou,24.2977,116.1072,26.86,91,98,0.56,CN,1689463392
96,hermanus,-34.4187,19.2345,16.0,78,91,6.01,ZA,1689463541
97,as saffaniyah,27.9708,48.73,34.12,30,5,4.29,SA,1689463541
98,iquique,-20.2208,-70.1431,18.02,77,43,1.05,CL,1689463538
99,college,64.8569,-147.8028,19.77,67,100,2.57,US,1689463542
100,fort bragg,35.139,-79.006,29.32,89,75,2.06,US,1689463542
101,nadym,65.5333,72.5167,10.55,65,47,4.21,RU,1689463543
102,macae,-22.3708,-41.7869,17.86,73,75,2.06,BR,1689463543
103,steinbach,50.1667,8.5667,20.89,89,91,5.66,DE,1689463543
104,vilyuchinsk,52.9306,158.4028,17.15,86,99,1.77,RU,1689463544
105,sumbe,-11.2061,13.8437,19.81,88,8,2.13,AO,1689463544
106,polyarnyy,69.1989,33.4478,12.82,96,98,1.31,RU,1689463325
107,raduzhny,62.0961,77.475,11.88,64,0,4.53,RU,1689463507
108,henlow,52.0302,-0.286,17.22,86,100,7.72,GB,1689463545
109,chonchi,-42.6128,-73.8092,5.07,93,24,1.32,CL,1689463545
110,avarua,-21.2078,-159.775,26.03,78,70,2.06,CK,1689463546
111,fraga,41.5229,0.3489,26.96,60,0,4.59,ES,1689463546
112,dubbo,-32.25,148.6167,11.07,87,100,1.03,AU,1689463546
113,grytviken,-54.2811,-36.5092,-5.24,79,7,3.11,GS,1689463547
114,nea alikarnassos,35.3333,25.1667,31.08,50,0,4.12,GR,1689463547
115,longyearbyen,78.2186,15.6401,9.91,76,0,4.63,SJ,1689463262
116,mira monte,34.4336,-119.2851,36.4,55,75,1.34,US,1689463547
117,remire-montjoly,4.9167,-52.2667,27.02,83,0,1.03,GF,1689463548
118,kaduna,10.5222,7.4383,24.05,80,42,2.29,NG,1689463340
119,laguna,38.421,-121.4238,42.88,23,0,2.57,US,1689463548
120,pyt-yakh,60.7499,72.8582,11.82,64,5,4.52,RU,1689463549
121,whitehorse,60.7161,-135.0538,26.68,32,75,3.6,CA,1689463423
122,illizi,26.4833,8.4667,30.89,10,0,4.36,DZ,1689463549
123,mugia,43.1041,-9.2179,15.51,73,12,3.74,ES,1689463550
124,albany,42.6001,-73.9662,30.23,72,98,0.79,US,1689463550
125,isafjordur,66.0755,-23.124,6.17,95,100,3.63,IS,1689463550
126,lanton,44.7048,-1.0356,19.11,68,25,2.71,FR,1689463550
127,soroti,1.7146,33.6111,17.72,77,3,0.78,UG,1689463551
128,fortaleza,-3.7227,-38.5247,28.07,74,75,5.66,BR,1689463551
129,kapuskasing,49.4169,-82.4331,23.05,68,100,4.12,CA,1689463551
130,copala,16.65,-98.9833,31.64,60,10,3.47,MX,1689463551
131,kamaishi,39.2667,141.8833,23.83,92,100,2.73,JP,1689463501
132,wailua homesteads,22.0669,-159.378,28.44,73,20,6.17,US,1689463552
133,kruisfontein,-34.0033,24.7314,11.6,86,85,2.42,ZA,1689463262
134,touba,8.2833,-7.6833,21.11,97,63,1.41,CI,1689463552
135,kidal,18.4411,1.4078,27.61,60,79,5.78,ML,1689463553
136,larache,35.1932,-6.1557,21.52,81,0,2.2,MA,1689463553
137,veraval,20.9,70.3667,27.39,83,90,7.17,IN,1689463553
138,kalmunai,7.4167,81.8167,26.82,81,97,2.86,LK,1689463554
139,kuching,1.55,110.3333,25.12,88,40,2.24,MY,1689463295
140,zonguldak,41.25,31.8333,14.53,91,0,1.47,TR,1689463554
141,korla,41.7597,86.1469,30.6,22,4,6.15,CN,1689463555
142,pierrelatte,44.3776,4.702,23.95,82,0,0.59,FR,1689463555
143,chinde,26.8418,88.0763,18.97,94,98,1.77,NP,1689463556
144,walvis bay,-22.9575,14.5053,11.72,81,0,3.6,NA,1689463556
145,mochudi,-24.4167,26.15,8.33,52,3,1.24,BW,1689463556
146,tomatlan,19.9333,-105.25,31.88,61,9,3.29,MX,1689463556
147,tsiombe,-25.3,45.4833,15.65,73,0,2.41,MG,1689463557
148,amungan,15.3652,119.9582,27.63,87,100,7.56,PH,1689463557
149,iskateley,67.6803,53.1512,15.56,67,12,2.12,RU,1689463557
150,kailua-kona,19.6406,-155.9956,28.98,77,75,4.63,US,1689463558
151,karaton,-6.3424,106.1045,22.13,95,91,0.67,ID,1689463558
152,naxos,37.1056,25.3764,28.77,70,0,5.36,GR,1689463558
153,ilulissat,69.2167,-51.1,6.01,100,100,3.09,GL,1689463559
154,rongelap,11.1635,166.8941,28.22,78,40,6.52,MH,1689463559
155,nagqu,31.5,92.0,2.62,88,13,0.99,CN,1689463559
156,lichuan,30.3,108.85,17.83,83,8,0.66,CN,1689463559
157,xiaolingwei,32.0333,118.85,22.99,82,100,0.46,CN,1689463560
158,xining,36.6167,101.7667,11.56,74,19,1.4,CN,1689463529
159,qurayyat,31.3318,37.3428,29.1,34,0,5.14,SA,1689463560
160,gore,-46.1028,168.9436,7.78,87,56,3.77,NZ,1689463561
161,ceeldheer,3.8488,47.1806,24.44,84,37,7.33,SO,1689463561
162,uray,60.1247,64.7758,11.38,75,48,3.8,RU,1689463562
163,grand-lahou,5.1367,-5.0242,24.59,91,48,3.4,CI,1689463562
164,shache,38.4167,77.2406,28.17,13,0,2.17,CN,1689463563
165,bukama,-9.2,25.85,21.83,42,0,0.86,CD,1689463563
166,griffith,41.5284,-87.4237,29.38,68,40,3.09,US,1689463563
167,kenai,60.5544,-151.2583,13.05,97,100,2.06,US,1689463563
168,enewetak,11.3474,162.3373,27.74,81,51,7.32,MH,1689463564
169,bosaso,11.2842,49.1816,32.3,42,5,12.47,SO,1689463564
170,xai-xai,-25.0519,33.6442,15.14,83,0,2.9,MZ,1689463565
171,holualoa,19.6228,-155.9522,26.91,77,75,4.63,US,1689463565
172,chui,-33.6971,-53.4616,9.49,77,47,1.95,UY,1689463565
173,saldanha,-33.0117,17.9442,13.03,90,100,4.51,ZA,1689463566
174,jincheng,35.5022,112.8328,23.31,50,0,2.44,CN,1689463408
175,reyes,-14.3167,-67.3833,22.16,67,0,0.4,BO,1689463566
176,newman,37.3138,-121.0208,42.19,8,0,3.15,US,1689463566
177,nuuk,64.1835,-51.7216,8.34,100,100,6.17,GL,1689463368
178,karymskoye,51.6167,114.35,21.4,54,0,0.7,RU,1689463567
179,aykhal,66.0,111.5,9.6,50,13,3.68,RU,1689463567
